person,task,complete
Suki,NSSS Abstracts,
Suki,DSA - 2 hrs,checked
Suki,CN Case Study Research ,
Suki,DBMS lab,
Suj,make out with my gf,
Suj,Make this website properly,
Suj,OS submission,
Suj,Leetcode,
Suj,RAGU pull request,
Suj,DBMS lab,
Suj,CAD quiz,
